ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP,IECC_Climate_Zone,Lockout_Setpoint
36467,Crenshaw County,AL,01041,H1,3A,69.0
36323,Crenshaw County,AL,01041,H1,3A,69.0
35057,Cullman County,AL,01043,H1,3A,69.0
35087,Cullman County,AL,01043,H1,3A,69.0
35033,Cullman County,AL,01043,H1,3A,69.0
35058,Cullman County,AL,01043,H1,3A,69.0
35056,Cullman County,AL,01043,H1,3A,69.0
35179,Cullman County,AL,01043,H1,3A,69.0
35622,Cullman County,AL,01043,H1,3A,69.0
35053,Cullman County,AL,01043,H1,3A,69.0
35098,Cullman County,AL,01043,H1,3A,69.0
35619,Cullman County,AL,01043,H1,3A,69.0
35541,Cullman County,AL,01043,H1,3A,69.0
35670,Cullman County,AL,01043,H1,3A,69.0
35077,Cullman County,AL,01043,H1,3A,69.0
35016,Cullman County,AL,01043,H1,3A,69.0
35621,Cullman County,AL,01043,H1,3A,69.0
35540,Cullman County,AL,01043,H1,3A,69.0
35976,Cullman County,AL,01043,H1,3A,69.0
35083,Cullman County,AL,01043,H1,3A,69.0
35070,Cullman County,AL,01043,H1,3A,69.0
35019,Cullman County,AL,01043,H1,3A,69.0
35055,Cullman County,AL,01043,H1,3A,69.0
36322,Dale County,AL,01045,H1,3A,69.0
36303,Dale County,AL,01045,H1,3A,69.0
36353,Dale County,AL,01045,H1,3A,69.0
36345,Dale County,AL,01045,H1,3A,69.0
36374,Dale County,AL,01045,H1,3A,69.0
36360,Dale County,AL,01045,H1,3A,69.0
36317,Dale County,AL,01045,H1,3A,69.0
36371,Dale County,AL,01045,H1,3A,69.0
36350,Dale County,AL,01045,H1,3A,69.0
36362,Dale County,AL,01045,H1,3A,69.0
36311,Dale County,AL,01045,H1,3A,69.0
36330,Dale County,AL,01045,H1,3A,69.0
36361,Dale County,AL,01045,H1,3A,69.0
36352,Dale County,AL,01045,H1,3A,69.0
36761,Dallas County,AL,01047,H1,3A,69.0
36767,Dallas County,AL,01047,H1,3A,69.0
36701,Dallas County,AL,01047,H1,3A,69.0
36773,Dallas County,AL,01047,H1,3A,69.0
36758,Dallas County,AL,01047,H1,3A,69.0
36785,Dallas County,AL,01047,H1,3A,69.0
36759,Dallas County,AL,01047,H1,3A,69.0
36749,Dallas County,AL,01047,H1,3A,69.0
36703,Dallas County,AL,01047,H1,3A,69.0
36775,Dallas County,AL,01047,H1,3A,69.0
35962,DeKalb County,AL,01049,H1,3A,69.0
35968,DeKalb County,AL,01049,H1,3A,69.0
35765,DeKalb County,AL,01049,H1,3A,69.0
35984,DeKalb County,AL,01049,H1,3A,69.0
35986,DeKalb County,AL,01049,H1,3A,69.0
35983,DeKalb County,AL,01049,H1,3A,69.0
35971,DeKalb County,AL,01049,H1,3A,69.0
35959,DeKalb County,AL,01049,H1,3A,69.0
35956,DeKalb County,AL,01049,H1,3A,69.0
35989,DeKalb County,AL,01049,H1,3A,69.0
35988,DeKalb County,AL,01049,H1,3A,69.0
35771,DeKalb County,AL,01049,H1,3A,69.0
35957,DeKalb County,AL,01049,H1,3A,69.0
35978,DeKalb County,AL,01049,H1,3A,69.0
35966,DeKalb County,AL,01049,H1,3A,69.0
35963,DeKalb County,AL,01049,H1,3A,69.0
35979,DeKalb County,AL,01049,H1,3A,69.0
35975,DeKalb County,AL,01049,H1,3A,69.0
35967,DeKalb County,AL,01049,H1,3A,69.0
35974,DeKalb County,AL,01049,H1,3A,69.0
35951,DeKalb County,AL,01049,H1,3A,69.0
35981,DeKalb County,AL,01049,H1,3A,69.0
35961,DeKalb County,AL,01049,H1,3A,69.0
35954,DeKalb County,AL,01049,H1,3A,69.0
35010,Elmore County,AL,01051,H1,3A,69.0
36054,Elmore County,AL,01051,H1,3A,69.0
35136,Elmore County,AL,01051,H1,3A,69.0
36051,Elmore County,AL,01051,H1,3A,69.0
36022,Elmore County,AL,01051,H1,3A,69.0
36066,Elmore County,AL,01051,H1,3A,69.0
36080,Elmore County,AL,01051,H1,3A,69.0
36024,Elmore County,AL,01051,H1,3A,69.0
36026,Elmore County,AL,01051,H1,3A,69.0
36025,Elmore County,AL,01051,H1,3A,69.0
36020,Elmore County,AL,01051,H1,3A,69.0
36067,Elmore County,AL,01051,H1,3A,69.0
36093,Elmore County,AL,01051,H1,3A,69.0
36078,Elmore County,AL,01051,H1,3A,69.0
36092,Elmore County,AL,01051,H1,3A,69.0
36420,Escambia County,AL,01053,H1,3A,69.0
36483,Escambia County,AL,01053,H1,3A,69.0
36543,Escambia County,AL,01053,H1,3A,69.0
36441,Escambia County,AL,01053,H1,3A,69.0
36502,Escambia County,AL,01053,H1,3A,69.0
36562,Escambia County,AL,01053,H1,3A,69.0
36426,Escambia County,AL,01053,H1,3A,69.0
36432,Escambia County,AL,01053,H1,3A,69.0
36475,Escambia County,AL,01053,H1,3A,69.0
36503,Escambia County,AL,01053,H1,3A,69.0
35902,Etowah County,AL,01055,H1,3A,69.0
35905,Etowah County,AL,01055,H1,3A,69.0
35906,Etowah County,AL,01055,H1,3A,69.0
35954,Etowah County,AL,01055,H1,3A,69.0
35956,Etowah County,AL,01055,H1,3A,69.0
35957,Etowah County,AL,01055,H1,3A,69.0
35903,Etowah County,AL,01055,H1,3A,69.0
35972,Etowah County,AL,01055,H1,3A,69.0
35952,Etowah County,AL,01055,H1,3A,69.0
36272,Etowah County,AL,01055,H1,3A,69.0
35990,Etowah County,AL,01055,H1,3A,69.0
35904,Etowah County,AL,01055,H1,3A,69.0
35901,Etowah County,AL,01055,H1,3A,69.0
35121,Etowah County,AL,01055,H1,3A,69.0
35907,Etowah County,AL,01055,H1,3A,69.0
35961,Etowah County,AL,01055,H1,3A,69.0
36271,Etowah County,AL,01055,H1,3A,69.0
35574,Fayette County,AL,01057,H1,3A,69.0
35594,Fayette County,AL,01057,H1,3A,69.0
35545,Fayette County,AL,01057,H1,3A,69.0
35546,Fayette County,AL,01057,H1,3A,69.0
35554,Fayette County,AL,01057,H1,3A,69.0
35555,Fayette County,AL,01057,H1,3A,69.0
35579,Fayette County,AL,01057,H1,3A,69.0
35549,Fayette County,AL,01057,H1,3A,69.0
35563,Fayette County,AL,01057,H1,3A,69.0
35559,Fayette County,AL,01057,H1,3A,69.0
35542,Fayette County,AL,01057,H1,3A,69.0
35616,Franklin County,AL,01059,H1,3A,69.0
35654,Franklin County,AL,01059,H1,3A,69.0
35593,Franklin County,AL,01059,H1,3A,69.0
35585,Franklin County,AL,01059,H1,3A,69.0
35582,Franklin County,AL,01059,H1,3A,69.0
35571,Franklin County,AL,01059,H1,3A,69.0
35565,Franklin County,AL,01059,H1,3A,69.0
35581,Franklin County,AL,01059,H1,3A,69.0
35653,Franklin County,AL,01059,H1,3A,69.0
35674,Franklin County,AL,01059,H1,3A,69.0
35564,Franklin County,AL,01059,H1,3A,69.0
36344,Geneva County,AL,01061,H1,3A,69.0
36313,Geneva County,AL,01061,H1,3A,69.0
36453,Geneva County,AL,01061,H1,3A,69.0
36375,Geneva County,AL,01061,H1,3A,69.0
36318,Geneva County,AL,01061,H1,3A,69.0
36322,Geneva County,AL,01061,H1,3A,69.0
36477,Geneva County,AL,01061,H1,3A,69.0
36340,Geneva County,AL,01061,H1,3A,69.0
36352,Geneva County,AL,01061,H1,3A,69.0
36316,Geneva County,AL,01061,H1,3A,69.0
36301,Geneva County,AL,01061,H1,3A,69.0
36314,Geneva County,AL,01061,H1,3A,69.0
36442,Geneva County,AL,01061,H1,3A,69.0
36305,Geneva County,AL,01061,H1,3A,69.0
36349,Geneva County,AL,01061,H1,3A,69.0
35462,Greene County,AL,01063,H1,3A,69.0
35491,Greene County,AL,01063,H1,3A,69.0
35469,Greene County,AL,01063,H1,3A,69.0
35480,Greene County,AL,01063,H1,3A,69.0
35443,Greene County,AL,01063,H1,3A,69.0
35464,Greene County,AL,01063,H1,3A,69.0
36740,Greene County,AL,01063,H1,3A,69.0
35463,Greene County,AL,01063,H1,3A,69.0
35448,Greene County,AL,01063,H1,3A,69.0
35441,Hale County,AL,01065,H1,3A,69.0
36765,Hale County,AL,01065,H1,3A,69.0
36738,Hale County,AL,01065,H1,3A,69.0
36744,Hale County,AL,01065,H1,3A,69.0
36786,Hale County,AL,01065,H1,3A,69.0
36756,Hale County,AL,01065,H1,3A,69.0
35474,Hale County,AL,01065,H1,3A,69.0
36776,Hale County,AL,01065,H1,3A,69.0
36742,Hale County,AL,01065,H1,3A,69.0
36303,Henry County,AL,01067,H1,3A,69.0
36319,Henry County,AL,01067,H1,3A,69.0
36350,Henry County,AL,01067,H1,3A,69.0
36353,Henry County,AL,01067,H1,3A,69.0
36345,Henry County,AL,01067,H1,3A,69.0
36373,Henry County,AL,01067,H1,3A,69.0
36310,Henry County,AL,01067,H1,3A,69.0
36317,Henry County,AL,01067,H1,3A,69.0
